WeGreen;15/10/2025;16/10/2025;17/10/2025;18/10/2025;19/10/2025;20/10/2025;21/10/2025;22/10/2025;23/10/2025;24/10/2025;25/10/2025;26/10/2025;27/10/2025;28/10/2025;29/10/2025;30/10/2025;31/10/2025;01/11/2025;02/11/2025;03/11/2025;04/11/2025;05/11/2025;06/11/2025;07/11/2025;08/11/2025;09/11/2025;10/11/2025;11/11/2025;12/11/2025;13/11/2025;14/11/2025;15/11/2025;16/11/2025;17/11/2025;18/11/2025;19/11/2025;20/11/2025;21/11/2025;22/11/2025;23/11/2025;24/11/2025;25/11/2025;26/11/2025;27/11/2025;28/11/2025;29/11/2025;30/11/2025;01/12/2025;02/12/2025;03/12/2025;04/12/2025;05/12/2025;06/12/2025;07/12/2025;08/12/2025;09/12/2025;10/12/2025;11/12/2025;12/12/2025;13/12/2025;14/12/2025;15/12/2025;16/12/2025;17/12/2025;18/12/2025;19/12/2025;20/12/2025;21/12/2025;22/12/2025;23/12/2025;24/12/2025;25/12/2025;26/12/2025;27/12/2025;28/12/2025;29/12/2025;30/12/2025;31/12/2025;01/01/2026;02/01/2026;03/01/2026;04/01/2026;05/01/2026;06/01/2026;07/01/2026;08/01/2026;09/01/2026;10/01/2026;11/01/2026;12/01/2026;13/01/2026;14/01/2026;15/01/2026;16/01/2026;17/01/2026;18/01/2026;19/01/2026;20/01/2026;21/01/2026;22/01/2026;23/01/2026;24/01/2026;25/01/2026;26/01/2026;27/01/2026;28/01/2026;29/01/2026;30/01/2026;31/01/2026;01/02/2026;02/02/2026;03/02/2026;04/02/2026;05/02/2026;06/02/2026;07/02/2026;08/02/2026;09/02/2026;10/02/2026;11/02/2026;12/02/2026;13/02/2026;14/02/2026;15/02/2026;16/02/2026;17/02/2026;18/02/2026;19/02/2026;20/02/2026;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Funcionalidades:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Análise e Planeamento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modelação da Base de Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Protótipo e UI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autenticação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sistema Marketplace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sistema de Confiança;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Planos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Replaneamento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Front-End Completo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Funcionalidades por Tipo de Utilizador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sistema Completo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Documentação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
